IAU Name,Designation,Const.,Vmag,RA,Dec
Skat,HR 8709,Aqr,3.27,343.662556,-15.820827
Spica,HR 5056,Vir,0.98,201.298247,-11.161319
Sualocin,HR 7906,Del,3.77,309.909530,15.912073
Subra,HR 3852,Leo,3.52,145.287640,9.892308
Suhail,HR 3634,Vel,2.23,136.998993,-43.432589
Sulafat,HR 7178,Lyr,3.25,284.735928,32.689557
Syrma,HR 5338,Vir,4.07,214.003623,-6.000545
Tabit,HR 1543,Ori,3.19,72.460045,6.961275
Taiyangshou,HR 4518,UMa,3.69,176.512559,47.779406
Taiyi,HR 4916,Dra,5.23,193.868951,65.438474
Talitha,HR 3569,UMa,3.12,134.801890,48.041826
Tania Australis,HR 4069,UMa,3.06,155.582250,41.499519
Tania Borealis,HR 4033,UMa,3.45,154.274095,42.914356
Tarazed,HR 7525,Aql,2.72,296.564915,10.613262
Taygeta,HR 1145,Tau,4.30,56.302063,24.467270
Tegmine,HR 3208,Cnc,4.67,123.053160,17.647821
Tejat,HR 2286,Gem,2.87,95.740112,22.513583
Terebellum,HR 7597,Sgr,4.70,298.959838,-26.299534
Theemin,HR 1464,Eri,3.81,68.887660,-30.562341
Thuban,HR 5291,Dra,3.67,211.097291,64.375851
Tiaki,HR 8636,Gru,2.12,340.666876,-46.884576
Tianguan,HR 1910,Tau,2.97,84.411189,21.142544
Tianyi,HR 4863,Dra,5.43,191.893099,66.790305
Titawin,HR 458,And,4.09,24.199342,41.405457
Tonatiuh,HR 4609,Cam,5.80,181.312995,76.905735
Torcular,HR 510,Psc,4.29,026.348466,9.157737
Tureis,HR 3185,Pup,2.83,121.886037,-24.304324
Unukalhai,HR 5854,Ser,2.63,236.066976,6.425629
Unurgunite,HR 2646,CMa,3.49,105.429782,-27.934830
Vega,HR 7001,Lyr,0.03,279.234735,38.783689
Veritate,HR 8930,And,5.22,352.822556,39.236197
Vindemiatrix,HR 4932,Vir,2.85,195.544157,10.959149
Wasat,HR 2777,Gem,3.50,110.030749,21.982316
Wazn,HR 2040,Col,3.12,87.739968,-35.768310
Wezen,HR 2693,CMa,1.83,107.097850,-26.393200
Xamidimura,HR 6247,Sco,3.00,252.967630,-38.047380
Xuange,HR 5351,Boo,4.18,214.095912,46.088306
Yed Posterior,HR 6075,Oph,3.23,244.580374,-4.692510
Yed Prior,HR 6056,Oph,2.73,243.586411,-3.694323
Yildun,HR 6789,UMi,4.35,263.054126,86.586462
Zaniah,HR 4689,Vir,3.89,184.976476,-0.666793
Zaurak,HR 1231,Eri,2.97,59.507360,-13.508516
Zavijava,HR 4540,Vir,3.59,177.673826,1.764717
Zhang,HR 3903,Hya,4.11,147.869558,-14.846603
Zibal,HR 984,Eri,4.80,48.958436,-8.819731
Zosma,HR 4357,Leo,2.56,168.527089,20.523718
Zubenelgenubi,HR 5531,Lib,2.75,222.719638,-16.041777
Zubenelhakrabi,HR 5787,Lib,3.91,233.881578,-14.789536
Zubeneschamali,HR 5685,Lib,2.61,229.251724,-9.382914
Larawag,HR 6241,Sco,2.29,252.540878,-34.293232
Ginan,HR 4700,Cru,3.59,185.340039,-60.401147
Wurren,HR 338,Phe,4.02,17.096173,-55.245758
